query,total_citations,exact_matches,domain_matches,total_domain_matches,exact_match_pct,domain_match_pct,avg_bing_rank,top1_match_pct,top3_match_pct,top5_match_pct,top10_match_pct
free website or program that can translate video and add subtitles automatically,10,3,2,5,30.0,50.0,21.4,0.0,10.0,10.0,10.0
free website or program to translate video and add subtitles automated,7,3,0,3,42.857142857142854,42.857142857142854,16.666666666666668,0.0,14.285714285714285,14.285714285714285,14.285714285714285
free website or program to translate video and add subtitles automatically,10,3,1,4,30.0,40.0,11.25,0.0,20.0,20.0,20.0
free website or program that can translate video and add subtitles automatically,9,2,2,4,22.22222222222222,44.44444444444444,19.75,0.0,11.11111111111111,11.11111111111111,11.11111111111111
free AI tools for audio transcription,9,4,2,6,44.44444444444444,66.66666666666666,11.0,0.0,0.0,11.11111111111111,55.55555555555556
free AI tools for audio transcription,8,4,1,5,50.0,62.5,9.2,0.0,0.0,12.5,50.0
free AI tools for audio transcription,8,4,2,6,50.0,75.0,11.0,0.0,0.0,12.5,62.5
free AI tools for audio transcription,10,5,3,8,50.0,80.0,15.0,10.0,10.0,20.0,50.0
free AI tools for audio transcription,8,3,3,6,37.5,75.0,11.0,0.0,0.0,12.5,62.5
tools available for text to speech,10,3,0,3,30.0,30.0,12.0,0.0,10.0,20.0,20.0
text to speech tools available,8,4,0,4,50.0,50.0,4.25,0.0,25.0,37.5,50.0
tools available for text to speech,7,3,0,3,42.857142857142854,42.857142857142854,4.666666666666667,0.0,14.285714285714285,28.57142857142857,42.857142857142854
text to speech tools available,8,4,0,4,50.0,50.0,11.0,0.0,25.0,37.5,37.5
tools available for text to speech services,8,3,0,3,37.5,37.5,16.666666666666668,0.0,12.5,12.5,12.5
best speech to text solutions software 2025,9,2,0,2,22.22222222222222,22.22222222222222,3.5,0.0,11.11111111111111,22.22222222222222,22.22222222222222
best speech to text solutions current,7,2,0,2,28.57142857142857,28.57142857142857,28.0,0.0,0.0,0.0,0.0
best speech to text solutions software 2025,11,4,0,4,36.36363636363637,36.36363636363637,4.5,0.0,18.181818181818183,27.27272727272727,36.36363636363637
best speech to text solutions software speech recognition 2025,8,2,0,2,25.0,25.0,1.5,12.5,25.0,25.0,25.0
free applications that read text in naturalistic voices text to speech free apps,10,4,1,5,40.0,50.0,18.6,10.0,20.0,20.0,20.0
free text to speech applications natural voices free apps read text,10,6,0,6,60.0,60.0,8.166666666666666,10.0,20.0,40.0,50.0
free applications that can read text in naturalistic voices text to speech apps free,12,8,0,8,66.66666666666666,66.66666666666666,12.25,8.333333333333332,16.666666666666664,33.33333333333333,41.66666666666667
free applications that can read text with natural voices text to speech free apps,6,2,0,2,33.33333333333333,33.33333333333333,11.5,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
free applications that read text in naturalistic voices text-to-speech free apps,12,6,0,6,50.0,50.0,16.833333333333332,8.333333333333332,16.666666666666664,16.666666666666664,16.666666666666664
